GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
310M300US14540,14540,"Bowling Green, KY Metro Area",174560,2677,149796,3144,12554,1197,701,120,4778,216,0,190,3181,1606,3550,1564,745,659,2805,1390
310M300US14740,14740,"Bremerton-Silverdale, WA Metro Area",264811,,213321,1654,6587,1225,3022,838,11318,1856,2204,539,6781,1787,21578,2989,1814,1239,19764,2578
310M300US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",944177,,696692,7566,110693,3655,2811,1588,50381,2263,695,481,52428,6348,30477,4175,8849,2787,21628,3032
310M300US15180,15180,"Brownsville-Harlingen, TX Metro Area",422135,,401139,3168,2142,419,341,375,3497,836,120,155,12137,3110,2759,1105,1599,879,1160,727
310M300US15260,15260,"Brunswick, GA Metro Area",115737,3271,84811,3210,25396,2227,344,295,1114,513,211,241,1095,884,2766,1319,316,353,2450,1297
310M300US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1132804,,904141,3733,136141,2690,6976,1384,36214,1290,546,282,20562,3595,28224,3714,4219,1688,24005,3140
310M300US15500,15500,"Burlington, NC Metro Area",159688,,110933,2190,31088,1129,779,494,2245,322,307,350,11140,2340,3196,1074,478,459,2718,978
310M300US15540,15540,"Burlington-South Burlington, VT Metro Area",217411,748,198963,1098,4517,810,1091,863,6065,787,44,76,2234,1419,4497,1362,383,290,4114,1270
310M300US15940,15940,"Canton-Massillon, OH Metro Area",401281,,355187,1441,27382,1812,218,258,3742,472,0,189,2474,1311,12278,2288,869,561,11409,2141
310M300US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",722336,,615028,5571,60475,2202,1457,705,11131,1020,129,210,20665,5515,13451,2962,2934,1229,10517,2561
